class	register	word
noun	ahhh	crevasse
noun	ahhh	crystal
noun	ahhh	deposit
noun	ahhh	depth
noun	ahhh	distance
noun	ahhh	dust
noun	ahhh	earth
noun	ahhh	expanse
noun	ahhh	grace
noun	ahhh	grain
noun	ahhh	granite
noun	ahhh	grave
noun	ahhh	heartwood
noun	ahhh	hush
noun	ahhh	keystone
noun	ahhh	knot
noun	ahhh	layer
noun	ahhh	light
noun	ahhh	lintel
noun	ahhh	luminescence
noun	ahhh	marble
noun	ahhh	mist
noun	ahhh	monument
noun	ahhh	obsidian
noun	ahhh	ore
noun	ahhh	peace
noun	ahhh	pith
noun	ahhh	quartz
noun	ahhh	radiance
noun	ahhh	realm
noun	ahhh	ring
noun	ahhh	root
noun	ahhh	ruin
noun	ahhh	sediment
noun	ahhh	silence
noun	ahhh	sky
noun	ahhh	slate
noun	ahhh	stillness
noun	ahhh	stone
noun	ahhh	stratum
noun	ahhh	timber
noun	ahhh	vault
noun	ahhh	void
noun	ahhh	wasteland
noun	ahhh	wonder
noun	ahhh	wood
verb	ah	adheres
verb	ah	bleeds
verb	ah	clings
verb	ah	cloaks
verb	ah	clots
verb	ah	creeps
verb	ah	drapes
verb	ah	drenches
verb	ah	drips
verb	ah	drools
verb	ah	festers
verb	ah	gathers
verb	ah	hangs
verb	ah	leaks
verb	ah	oozes
verb	ah	pools
verb	ah	pulses
verb	ah	reeks
verb	ah	rots
verb	ah	ruptures
verb	ah	seeps
verb	ah	shudders
verb	ah	slithers
verb	ah	soaks
verb	ah	squelches
verb	ah	stains
verb	ah	sticks
verb	ah	stinks
verb	ah	sweats
verb	ah	swells
verb	ah	throbs
verb	ah	trickles
verb	ah	weeps
verb	ah	writhes
verb	ahaha	blackens
verb	ahaha	bleaches
verb	ahaha	bleeds
verb	ahaha	blisters
verb	ahaha	blooms
verb	ahaha	breaks
verb	ahaha	buckles
verb	ahaha	burns
verb	ahaha	chars
verb	ahaha	collapses
verb	ahaha	corrodes
verb	ahaha	cracks
verb	ahaha	crumbles
verb	ahaha	crystallizes
verb	ahaha	decays
verb	ahaha	dissolves
verb	ahaha	erodes
verb	ahaha	fades
verb	ahaha	fractures
verb	ahaha	fragments
verb	ahaha	fuses
verb	ahaha	ignites
verb	ahaha	melts
verb	ahaha	oxidizes
verb	ahaha	peels
verb	ahaha	pools
verb	ahaha	regenerates
verb	ahaha	rots
verb	ahaha	rusts
verb	ahaha	scorches
verb	ahaha	settles
verb	ahaha	shatters
verb	ahaha	shifts
verb	ahaha	sinks
verb	ahaha	sloughs
verb	ahaha	smolders
verb	ahaha	splinters
verb	ahaha	splits
verb	ahaha	spreads
verb	ahaha	tarnishes
verb	ahaha	transmutes
verb	ahaha	warps
verb	ahaha	weathers
verb	ahaha	withers
verb	ahhh	abides
verb	ahhh	anchors
verb	ahhh	bears
verb	ahhh	breathes
verb	ahhh	broods
verb	ahhh	creaks
verb	ahhh	dwells
verb	ahhh	emanates
verb	ahhh	emerges
verb	ahhh	endures
verb	ahhh	expands
verb	ahhh	flows
verb	ahhh	glimmers
verb	ahhh	glows
verb	ahhh	holds
verb	ahhh	illuminates
verb	ahhh	lingers
verb	ahhh	looms
verb	ahhh	persists
verb	ahhh	prevails
verb	ahhh	radiates
verb	ahhh	remains
verb	ahhh	resonates
verb	ahhh	rests
verb	ahhh	settles
verb	ahhh	shines
verb	ahhh	sleeps
verb	ahhh	spreads
verb	ahhh	stands
verb	ahhh	stretches
verb	ahhh	sustains
verb	ahhh	towers
verb	ahhh	waits
