zone_id	zone_name	element	clock_pos	angle_deg	stratum	stratum_name	mat_id	material_family	primary_texture_path	pbr_normal	pbr_roughness	pbr_displacement	pbr_ao	pbr_metalness
P2	Taurus	Earth	2 o'clock	60	S0	Baseline	120	pbr/wood/planks/WoodFloor071	pbr/wood/planks/WoodFloor071.png	pbr/wood/planks/WoodFloor071_1K-JPG_NormalGL.jpg	pbr/wood/planks/WoodFloor071_1K-JPG_Roughness.jpg	pbr/wood/planks/WoodFloor071_1K-JPG_Displacement.jpg	pbr/wood/planks/WoodFloor071_1K-JPG_AmbientOcclusion.jpg	none
P2	Taurus	Earth	2 o'clock	60	S1	Ancient	121	materials/raw_earth_ancient	materials/raw_earth_ancient.png	none	none	none	none	none
P2	Taurus	Earth	2 o'clock	60	S2	Decay	122	pbr/wood/old/PaintedWood009C	pbr/wood/old/PaintedWood009C.png	pbr/wood/old/PaintedWood009C_1K-JPG_NormalGL.jpg	pbr/wood/old/PaintedWood009C_1K-JPG_Roughness.jpg	pbr/wood/old/PaintedWood009C_1K-JPG_Displacement.jpg	pbr/wood/old/PaintedWood009C_1K-JPG_AmbientOcclusion.jpg	none
P2	Taurus	Earth	2 o'clock	60	S3	Golden	123	atlas/hexagons_golden_age	atlas/hexagons_golden_age.png	none	none	none	none	none
P2	Taurus	Earth	2 o'clock	60	S4	Void	124	materials/void_grid_void	materials/void_grid_void.png	none	none	none	none	none
P3	Gemini	Air	3 o'clock	90	S0	Baseline	130	pbr/stone/wall/Rock051	pbr/stone/wall/Rock051.png	pbr/stone/wall/Rock051_1K-JPG_NormalGL.jpg	pbr/stone/wall/Rock051_1K-JPG_Roughness.jpg	pbr/stone/wall/Rock051_1K-JPG_Displacement.jpg	pbr/stone/wall/Rock051_1K-JPG_AmbientOcclusion.jpg	none
P3	Gemini	Air	3 o'clock	90	S1	Ancient	131	pbr/stone/ruins/PaintedPlaster018	pbr/stone/ruins/PaintedPlaster018.png	pbr/stone/ruins/PaintedPlaster018_1K-JPG_NormalGL.jpg	pbr/stone/ruins/PaintedPlaster018_1K-JPG_Roughness.jpg	pbr/stone/ruins/PaintedPlaster018_1K-JPG_Displacement.jpg	pbr/stone/ruins/PaintedPlaster018_1K-JPG_AmbientOcclusion.jpg	none
P3	Gemini	Air	3 o'clock	90	S2	Decay	132	pbr/special/plaster/PaintedPlaster017	pbr/special/plaster/PaintedPlaster017.png	pbr/special/plaster/PaintedPlaster017_1K-JPG_NormalGL.jpg	pbr/special/plaster/PaintedPlaster017_1K-JPG_Roughness.jpg	pbr/special/plaster/PaintedPlaster017_1K-JPG_Displacement.jpg	pbr/special/plaster/PaintedPlaster017_1K-JPG_AmbientOcclusion.jpg	none
P3	Gemini	Air	3 o'clock	90	S3	Golden	133	banners/ironmoor_trade_banner_golden	banners/ironmoor_trade_banner_golden.png	none	none	none	none	none
P3	Gemini	Air	3 o'clock	90	S4	Void	134	pbr/special/void/Concrete035	pbr/special/void/Concrete035.png	pbr/special/void/Concrete035_1K-JPG_NormalGL.jpg	pbr/special/void/Concrete035_1K-JPG_Roughness.jpg	pbr/special/void/Concrete035_1K-JPG_Displacement.jpg	pbr/special/void/Concrete035_1K-JPG_AmbientOcclusion.jpg	none
P4	Cancer	Water	4 o'clock	120	S0	Baseline	140	pbr/water/wet/Ground050	pbr/water/wet/Ground050.png	pbr/water/wet/Ground050_1K-JPG_NormalGL.jpg	pbr/water/wet/Ground050_1K-JPG_Roughness.jpg	pbr/water/wet/Ground050_1K-JPG_Displacement.jpg	pbr/water/wet/Ground050_1K-JPG_AmbientOcclusion.jpg	none
P4	Cancer	Water	4 o'clock	120	S1	Ancient	141	pbr/nature/leaves/Ground076	pbr/nature/leaves/Ground076.png	pbr/nature/leaves/Ground076_1K-JPG_NormalGL.jpg	pbr/nature/leaves/Ground076_1K-JPG_Roughness.jpg	pbr/nature/leaves/Ground076_1K-JPG_Displacement.jpg	pbr/nature/leaves/Ground076_1K-JPG_AmbientOcclusion.jpg	none
P4	Cancer	Water	4 o'clock	120	S2	Decay	142	banners/murkveil_cult_banner_decay	banners/murkveil_cult_banner_decay.png	none	none	none	none	none
P4	Cancer	Water	4 o'clock	120	S3	Golden	143	pbr/metal/gold/Metal048A	pbr/metal/gold/Metal048A.png	pbr/metal/gold/Metal048A_1K-JPG_NormalGL.jpg	pbr/metal/gold/Metal048A_1K-JPG_Roughness.jpg	pbr/metal/gold/Metal048A_1K-JPG_Displacement.jpg	pbr/metal/gold/Metal048A_1K-JPG_AmbientOcclusion.jpg	pbr/metal/gold/Metal048A_1K-JPG_Metalness.jpg
P4	Cancer	Water	4 o'clock	120	S4	Void	144	pbr/special/crystal/Onyx006	pbr/special/crystal/Onyx006.png	pbr/special/crystal/Onyx006_1K-JPG_NormalGL.jpg	pbr/special/crystal/Onyx006_1K-JPG_Roughness.jpg	pbr/special/crystal/Onyx006_1K-JPG_Displacement.jpg	pbr/special/crystal/Onyx006_1K-JPG_AmbientOcclusion.jpg	none
P5	Leo	Fire	5 o'clock	150	S0	Baseline	150	pbr/ground/sand/Ground093C	pbr/ground/sand/Ground093C.png	pbr/ground/sand/Ground093C_1K-JPG_NormalGL.jpg	pbr/ground/sand/Ground093C_1K-JPG_Roughness.jpg	pbr/ground/sand/Ground093C_1K-JPG_Displacement.jpg	pbr/ground/sand/Ground093C_1K-JPG_AmbientOcclusion.jpg	none
P5	Leo	Fire	5 o'clock	150	S1	Ancient	151	pbr/nature/thatch/ThatchedRoof002A	pbr/nature/thatch/ThatchedRoof002A.png	pbr/nature/thatch/ThatchedRoof002A_1K-JPG_NormalGL.jpg	pbr/nature/thatch/ThatchedRoof002A_1K-JPG_Roughness.jpg	pbr/nature/thatch/ThatchedRoof002A_1K-JPG_Displacement.jpg	pbr/nature/thatch/ThatchedRoof002A_1K-JPG_AmbientOcclusion.jpg	none
P5	Leo	Fire	5 o'clock	150	S2	Decay	152	pbr/metal/corroded/Metal061C	pbr/metal/corroded/Metal061C.png	pbr/metal/corroded/Metal061C_1K-JPG_NormalGL.jpg	pbr/metal/corroded/Metal061C_1K-JPG_Roughness.jpg	pbr/metal/corroded/Metal061C_1K-JPG_Displacement.jpg	pbr/metal/corroded/Metal061C_1K-JPG_AmbientOcclusion.jpg	pbr/metal/corroded/Metal061C_1K-JPG_Metalness.jpg
P5	Leo	Fire	5 o'clock	150	S3	Golden	153	banners/hollowden_pack_banner_golden	banners/hollowden_pack_banner_golden.png	none	none	none	none	none
P5	Leo	Fire	5 o'clock	150	S4	Void	154	pbr/special/void/Road008B	pbr/special/void/Road008B.png	pbr/special/void/Road008B_1K-JPG_NormalGL.jpg	pbr/special/void/Road008B_1K-JPG_Roughness.jpg	pbr/special/void/Road008B_1K-JPG_Displacement.jpg	pbr/special/void/Road008B_1K-JPG_AmbientOcclusion.jpg	none
P6	Virgo	Earth	6 o'clock	180	S0	Baseline	160	pbr/stone/floor/Concrete048	pbr/stone/floor/Concrete048.png	pbr/stone/floor/Concrete048_1K-JPG_NormalGL.jpg	pbr/stone/floor/Concrete048_1K-JPG_Roughness.jpg	pbr/stone/floor/Concrete048_1K-JPG_Displacement.jpg	pbr/stone/floor/Concrete048_1K-JPG_AmbientOcclusion.jpg	none
P6	Virgo	Earth	6 o'clock	180	S1	Ancient	161	pbr/stone/ancient/Bricks084	pbr/special/ancient/Bricks084.png	pbr/special/ancient/Bricks084_1K-JPG_NormalGL.jpg	pbr/special/ancient/Bricks084_1K-JPG_Roughness.jpg	pbr/special/ancient/Bricks084_1K-JPG_Displacement.jpg	pbr/special/ancient/Bricks084_1K-JPG_AmbientOcclusion.jpg	none
P6	Virgo	Earth	6 o'clock	180	S2	Decay	162	pbr/metal/iron/Metal056C	pbr/metal/iron/Metal056C.png	pbr/metal/iron/Metal056C_1K-JPG_NormalGL.jpg	pbr/metal/iron/Metal056C_1K-JPG_Roughness.jpg	pbr/metal/iron/Metal056C_1K-JPG_Displacement.jpg	pbr/metal/iron/Metal056C_1K-JPG_AmbientOcclusion.jpg	pbr/metal/iron/Metal056C_1K-JPG_Metalness.jpg
P6	Virgo	Earth	6 o'clock	180	S3	Golden	163	pbr/metal/gold/Metal048C	pbr/metal/gold/Metal048C.png	pbr/metal/gold/Metal048C_1K-JPG_NormalGL.jpg	pbr/metal/gold/Metal048C_1K-JPG_Roughness.jpg	pbr/metal/gold/Metal048C_1K-JPG_Displacement.jpg	pbr/metal/gold/Metal048C_1K-JPG_AmbientOcclusion.jpg	pbr/metal/gold/Metal048C_1K-JPG_Metalness.jpg
P6	Virgo	Earth	6 o'clock	180	S4	Void	164	pbr/special/void/Concrete036	pbr/special/void/Concrete036.png	pbr/special/void/Concrete036_1K-JPG_NormalGL.jpg	pbr/special/void/Concrete036_1K-JPG_Roughness.jpg	pbr/special/void/Concrete036_1K-JPG_Displacement.jpg	pbr/special/void/Concrete036_1K-JPG_AmbientOcclusion.jpg	none
P7	Libra	Air	7 o'clock	210	S0	Baseline	170	pbr/ground/grass/Ground037	pbr/ground/grass/Ground037.png	pbr/ground/grass/Ground037_1K-JPG_NormalGL.jpg	pbr/ground/grass/Ground037_1K-JPG_Roughness.jpg	pbr/ground/grass/Ground037_1K-JPG_Displacement.jpg	pbr/ground/grass/Ground037_1K-JPG_AmbientOcclusion.jpg	none
P7	Libra	Air	7 o'clock	210	S1	Ancient	171	pbr/special/plaster/Plaster001	pbr/special/plaster/Plaster001.png	pbr/special/plaster/Plaster001_1K-JPG_NormalGL.jpg	pbr/special/plaster/Plaster001_1K-JPG_Roughness.jpg	pbr/special/plaster/Plaster001_1K-JPG_Displacement.jpg	pbr/special/plaster/Plaster001_1K-JPG_AmbientOcclusion.jpg	none
P7	Libra	Air	7 o'clock	210	S2	Decay	172	pbr/brick/old/PaintedBricks002	pbr/brick/old/PaintedBricks002.png	pbr/brick/old/PaintedBricks002_1K-JPG_NormalGL.jpg	pbr/brick/old/PaintedBricks002_1K-JPG_Roughness.jpg	pbr/brick/old/PaintedBricks002_1K-JPG_Displacement.jpg	pbr/brick/old/PaintedBricks002_1K-JPG_AmbientOcclusion.jpg	none
P7	Libra	Air	7 o'clock	210	S3	Golden	173	pbr/fabric/carpet/Carpet001	pbr/fabric/carpet/Carpet001.png	pbr/fabric/carpet/Carpet001_1K-JPG_NormalGL.jpg	pbr/fabric/carpet/Carpet001_1K-JPG_Roughness.jpg	pbr/fabric/carpet/Carpet001_1K-JPG_Displacement.jpg	pbr/fabric/carpet/Carpet001_1K-JPG_AmbientOcclusion.jpg	none
P7	Libra	Air	7 o'clock	210	S4	Void	174	pbr/special/void/Road009C	pbr/special/void/Road009C.png	pbr/special/void/Road009C_1K-JPG_NormalGL.jpg	pbr/special/void/Road009C_1K-JPG_Roughness.jpg	pbr/special/void/Road009C_1K-JPG_Displacement.jpg	pbr/special/void/Road009C_1K-JPG_AmbientOcclusion.jpg	none
P8	Scorpio	Water	8 o'clock	240	S0	Baseline	180	pbr/water/wet/Asphalt025C	pbr/water/wet/Asphalt025C.png	pbr/water/wet/Asphalt025C_1K-JPG_NormalGL.jpg	pbr/water/wet/Asphalt025C_1K-JPG_Roughness.jpg	pbr/water/wet/Asphalt025C_1K-JPG_Displacement.jpg	pbr/water/wet/Asphalt025C_1K-JPG_AmbientOcclusion.jpg	none
P8	Scorpio	Water	8 o'clock	240	S1	Ancient	181	pbr/special/ancient/Concrete012	pbr/special/ancient/Concrete012.png	pbr/special/ancient/Concrete012_1K-JPG_NormalGL.jpg	pbr/special/ancient/Concrete012_1K-JPG_Roughness.jpg	pbr/special/ancient/Concrete012_1K-JPG_Displacement.jpg	pbr/special/ancient/Concrete012_1K-JPG_AmbientOcclusion.jpg	none
P8	Scorpio	Water	8 o'clock	240	S2	Decay	182	pbr/stone/ruins/Concrete044D	pbr/stone/ruins/Concrete044D.png	pbr/stone/ruins/Concrete044D_1K-JPG_NormalGL.jpg	pbr/stone/ruins/Concrete044D_1K-JPG_Roughness.jpg	pbr/stone/ruins/Concrete044D_1K-JPG_Displacement.jpg	pbr/stone/ruins/Concrete044D_1K-JPG_AmbientOcclusion.jpg	none
P8	Scorpio	Water	8 o'clock	240	S3	Golden	183	pbr/special/ancient/GlazedTerracotta002	pbr/special/ancient/GlazedTerracotta002.png	pbr/special/ancient/GlazedTerracotta002_1K-JPG_NormalGL.jpg	pbr/special/ancient/GlazedTerracotta002_1K-JPG_Roughness.jpg	pbr/special/ancient/GlazedTerracotta002_1K-JPG_Displacement.jpg	pbr/special/ancient/GlazedTerracotta002_1K-JPG_AmbientOcclusion.jpg	none
P8	Scorpio	Water	8 o'clock	240	S4	Void	184	pbr/special/void/Concrete033	pbr/special/void/Concrete033.png	pbr/special/void/Concrete033_1K-JPG_NormalGL.jpg	pbr/special/void/Concrete033_1K-JPG_Roughness.jpg	pbr/special/void/Concrete033_1K-JPG_Displacement.jpg	pbr/special/void/Concrete033_1K-JPG_AmbientOcclusion.jpg	none
P9	Sagittarius	Fire	9 o'clock	270	S0	Baseline	190	pbr/brick/red/Bricks100	pbr/brick/red/Bricks100.png	pbr/brick/red/Bricks100_1K-JPG_NormalGL.jpg	pbr/brick/red/Bricks100_1K-JPG_Roughness.jpg	pbr/brick/red/Bricks100_1K-JPG_Displacement.jpg	pbr/brick/red/Bricks100_1K-JPG_AmbientOcclusion.jpg	none
P9	Sagittarius	Fire	9 o'clock	270	S1	Ancient	191	pbr/stone/rock/Rock035	pbr/stone/rock/Rock035.png	pbr/stone/rock/Rock035_1K-JPG_NormalGL.jpg	pbr/stone/rock/Rock035_1K-JPG_Roughness.jpg	pbr/stone/rock/Rock035_1K-JPG_Displacement.jpg	pbr/stone/rock/Rock035_1K-JPG_AmbientOcclusion.jpg	none
P9	Sagittarius	Fire	9 o'clock	270	S2	Decay	192	pbr/brick/red/Bricks060	pbr/brick/red/Bricks060.png	pbr/brick/red/Bricks060_1K-JPG_NormalGL.jpg	pbr/brick/red/Bricks060_1K-JPG_Roughness.jpg	pbr/brick/red/Bricks060_1K-JPG_Displacement.jpg	pbr/brick/red/Bricks060_1K-JPG_AmbientOcclusion.jpg	none
P9	Sagittarius	Fire	9 o'clock	270	S3	Golden	193	pbr/special/ancient/GlazedTerracotta003	pbr/special/ancient/GlazedTerracotta003.png	pbr/special/ancient/GlazedTerracotta003_1K-JPG_NormalGL.jpg	pbr/special/ancient/GlazedTerracotta003_1K-JPG_Roughness.jpg	pbr/special/ancient/GlazedTerracotta003_1K-JPG_Displacement.jpg	pbr/special/ancient/GlazedTerracotta003_1K-JPG_AmbientOcclusion.jpg	none
P9	Sagittarius	Fire	9 o'clock	270	S4	Void	194	pbr/brick/dark/Bricks049	pbr/brick/dark/Bricks049.png	pbr/brick/dark/Bricks049_1K-JPG_NormalGL.jpg	pbr/brick/dark/Bricks049_1K-JPG_Roughness.jpg	pbr/brick/dark/Bricks049_1K-JPG_Displacement.jpg	pbr/brick/dark/Bricks049_1K-JPG_AmbientOcclusion.jpg	none
P10	Capricorn	Earth	10 o'clock	300	S0	Baseline	200	pbr/ground/snow/Snow013	pbr/ground/snow/Snow013.png	pbr/ground/snow/Snow013_1K-JPG_NormalGL.jpg	pbr/ground/snow/Snow013_1K-JPG_Roughness.jpg	pbr/ground/snow/Snow013_1K-JPG_Displacement.jpg	pbr/ground/snow/Snow013_1K-JPG_AmbientOcclusion.jpg	none
P10	Capricorn	Earth	10 o'clock	300	S1	Ancient	201	pbr/ground/dirt/Ground080	pbr/ground/dirt/Ground080.png	pbr/ground/dirt/Ground080_1K-JPG_NormalGL.jpg	pbr/ground/dirt/Ground080_1K-JPG_Roughness.jpg	pbr/ground/dirt/Ground080_1K-JPG_Displacement.jpg	pbr/ground/dirt/Ground080_1K-JPG_AmbientOcclusion.jpg	none
P10	Capricorn	Earth	10 o'clock	300	S2	Decay	202	pbr/stone/cobble/PavingStones051	pbr/stone/cobble/PavingStones051.png	pbr/stone/cobble/PavingStones051_1K-JPG_NormalGL.jpg	pbr/stone/cobble/PavingStones051_1K-JPG_Roughness.jpg	pbr/stone/cobble/PavingStones051_1K-JPG_Displacement.jpg	pbr/stone/cobble/PavingStones051_1K-JPG_AmbientOcclusion.jpg	none
P10	Capricorn	Earth	10 o'clock	300	S3	Golden	203	pbr/fabric/cloth/Carpet016	pbr/fabric/cloth/Carpet016.png	pbr/fabric/cloth/Carpet016_1K-JPG_NormalGL.jpg	pbr/fabric/cloth/Carpet016_1K-JPG_Roughness.jpg	pbr/fabric/cloth/Carpet016_1K-JPG_Displacement.jpg	pbr/fabric/cloth/Carpet016_1K-JPG_AmbientOcclusion.jpg	none
P10	Capricorn	Earth	10 o'clock	300	S4	Void	204	pbr/stone/rock/Rock063	pbr/stone/rock/Rock063.png	pbr/stone/rock/Rock063_1K-JPG_NormalGL.jpg	pbr/stone/rock/Rock063_1K-JPG_Roughness.jpg	pbr/stone/rock/Rock063_1K-JPG_Displacement.jpg	pbr/stone/rock/Rock063_1K-JPG_AmbientOcclusion.jpg	none
P11	Aquarius	Air	11 o'clock	330	S0	Baseline	210	pbr/ground/snow/Snow014	pbr/ground/snow/Snow014.png	pbr/ground/snow/Snow014_1K-JPG_NormalGL.jpg	pbr/ground/snow/Snow014_1K-JPG_Roughness.jpg	pbr/ground/snow/Snow014_1K-JPG_Displacement.jpg	pbr/ground/snow/Snow014_1K-JPG_AmbientOcclusion.jpg	none
P11	Aquarius	Air	11 o'clock	330	S1	Ancient	211	pbr/ground/gravel/Gravel042	pbr/ground/gravel/Gravel042.png	pbr/ground/gravel/Gravel042_1K-JPG_NormalGL.jpg	pbr/ground/gravel/Gravel042_1K-JPG_Roughness.jpg	pbr/ground/gravel/Gravel042_1K-JPG_Displacement.jpg	pbr/ground/gravel/Gravel042_1K-JPG_AmbientOcclusion.jpg	none
P11	Aquarius	Air	11 o'clock	330	S2	Decay	212	pbr/stone/ruins/Concrete042C	pbr/stone/ruins/Concrete042C.png	pbr/stone/ruins/Concrete042C_1K-JPG_NormalGL.jpg	pbr/stone/ruins/Concrete042C_1K-JPG_Roughness.jpg	pbr/stone/ruins/Concrete042C_1K-JPG_Displacement.jpg	pbr/stone/ruins/Concrete042C_1K-JPG_AmbientOcclusion.jpg	none
P11	Aquarius	Air	11 o'clock	330	S3	Golden	213	pbr/fabric/leather/Leather038	pbr/fabric/leather/Leather038.png	pbr/fabric/leather/Leather038_1K-JPG_NormalGL.jpg	pbr/fabric/leather/Leather038_1K-JPG_Roughness.jpg	pbr/fabric/leather/Leather038_1K-JPG_Displacement.jpg	pbr/fabric/leather/Leather038_1K-JPG_AmbientOcclusion.jpg	none
P11	Aquarius	Air	11 o'clock	330	S4	Void	214	pbr/special/crystal/Onyx006	pbr/special/crystal/Onyx006.png	pbr/special/crystal/Onyx006_1K-JPG_NormalGL.jpg	pbr/special/crystal/Onyx006_1K-JPG_Roughness.jpg	pbr/special/crystal/Onyx006_1K-JPG_Displacement.jpg	pbr/special/crystal/Onyx006_1K-JPG_AmbientOcclusion.jpg	none
P12	Pisces	Water	12 o'clock	0	S0	Baseline	220	pbr/ground/sand/Ground093C	pbr/ground/sand/Ground093C.png	pbr/ground/sand/Ground093C_1K-JPG_NormalGL.jpg	pbr/ground/sand/Ground093C_1K-JPG_Roughness.jpg	pbr/ground/sand/Ground093C_1K-JPG_Displacement.jpg	pbr/ground/sand/Ground093C_1K-JPG_AmbientOcclusion.jpg	none
P12	Pisces	Water	12 o'clock	0	S1	Ancient	221	pbr/special/ancient/GlazedTerracotta003	pbr/special/ancient/GlazedTerracotta003.png	pbr/special/ancient/GlazedTerracotta003_1K-JPG_NormalGL.jpg	pbr/special/ancient/GlazedTerracotta003_1K-JPG_Roughness.jpg	pbr/special/ancient/GlazedTerracotta003_1K-JPG_Displacement.jpg	pbr/special/ancient/GlazedTerracotta003_1K-JPG_AmbientOcclusion.jpg	none
P12	Pisces	Water	12 o'clock	0	S2	Decay	222	pbr/stone/cobble/PavingStones046	pbr/stone/cobble/PavingStones046.png	pbr/stone/cobble/PavingStones046_1K-JPG_NormalGL.jpg	pbr/stone/cobble/PavingStones046_1K-JPG_Roughness.jpg	pbr/stone/cobble/PavingStones046_1K-JPG_Displacement.jpg	pbr/stone/cobble/PavingStones046_1K-JPG_AmbientOcclusion.jpg	none
P12	Pisces	Water	12 o'clock	0	S3	Golden	223	pbr/stone/floor/Tiles081	pbr/stone/floor/Tiles081.png	pbr/stone/floor/Tiles081_1K-JPG_NormalGL.jpg	pbr/stone/floor/Tiles081_1K-JPG_Roughness.jpg	pbr/stone/floor/Tiles081_1K-JPG_Displacement.jpg	pbr/stone/floor/Tiles081_1K-JPG_AmbientOcclusion.jpg	none
P12	Pisces	Water	12 o'clock	0	S4	Void	224	pbr/special/void/Road012B	pbr/special/void/Road012B.png	pbr/special/void/Road012B_1K-JPG_NormalGL.jpg	pbr/special/void/Road012B_1K-JPG_Roughness.jpg	pbr/special/void/Road012B_1K-JPG_Displacement.jpg	pbr/special/void/Road012B_1K-JPG_AmbientOcclusion.jpg	none
